,movie_id,genre_id,genre,new_genre_id,new_movie_id
3939,10439,35,Comedy,10,1155
3940,10025,14,Fantasy,2,942
3941,10025,18,Drama,5,942
3942,10025,10751,Family,8,942
3943,10025,35,Comedy,10,942
3944,10025,10749,Romance,11,942
3945,11283,14,Fantasy,2,1479
3946,11283,10751,Family,8,1479
3947,11283,35,Comedy,10,1479
3948,46261,14,Fantasy,2,2116
3949,46261,53,Thriller,6,2116
3950,46261,27,Horror,12,2116
3951,10208,14,Fantasy,2,1051
3952,10208,878,Science Fiction,3,1051
3953,10208,10751,Family,8,1051
3954,10208,35,Comedy,10,1051
3955,251,14,Fantasy,2,768
3956,251,18,Drama,5,768
3957,251,53,Thriller,6,768
3958,251,10749,Romance,11,768
3959,251,9648,Mystery,13,768
3960,11395,14,Fantasy,2,1522
3961,11395,18,Drama,5,1522
3962,11395,10751,Family,8,1522
3963,11395,35,Comedy,10,1522
3964,162,14,Fantasy,2,87
3965,162,18,Drama,5,87
3966,162,10749,Romance,11,87
3967,577,14,Fantasy,2,297
3968,577,18,Drama,5,297
3969,577,53,Thriller,6,297
3970,577,35,Comedy,10,297
3971,13948,14,Fantasy,2,2225
3972,13948,35,Comedy,10,2225
3973,44638,14,Fantasy,2,1666
3974,44638,18,Drama,5,1666
3975,23082,14,Fantasy,2,2465
3976,23082,35,Comedy,10,2465
3977,23082,10749,Romance,11,2465
3978,854,14,Fantasy,2,472
3979,854,80,Crime,4,472
3980,854,35,Comedy,10,472
3981,854,10749,Romance,11,472
3982,2280,14,Fantasy,2,1170
3983,2280,18,Drama,5,1170
3984,2280,10751,Family,8,1170
3985,2280,35,Comedy,10,1170
3986,2280,10749,Romance,11,1170
3987,10013,14,Fantasy,2,934
3988,10013,18,Drama,5,934
3989,10013,35,Comedy,10,934
3990,10013,10749,Romance,11,934
3991,38117,14,Fantasy,2,2133
3992,38117,18,Drama,5,2133
3993,38117,10749,Romance,11,2133
3994,1491,14,Fantasy,2,759
3995,1491,18,Drama,5,759
3996,1491,53,Thriller,6,759
3997,1491,10749,Romance,11,759
3998,1417,14,Fantasy,2,722
3999,1417,18,Drama,5,722
